route_long_name,route_short_name,service_id,total_trips,avg_trip_distance_km,avg_duration_min,duration_stddev_min,avg_speed_kmh
EGLINTON EAST,34,2,460,10.287030904318975,37.88478261,8.74330718921136,16.739360901825506
EGLINTON EAST,34,3,356,10.950138258004792,38.90168539,7.78603600749517,17.376279697321127
EGLINTON EAST,34,4,387,10.948174733254644,37.9250646,8.191321252330171,17.980454031458937
JUNCTION,340,1,15,5.436933492620786,13.53333333,0.49888765156985865,24.143666640087805
JUNCTION,340,2,15,5.436933492620786,13.53333333,0.49888765156985865,24.143666640087805
JUNCTION,340,3,30,5.4394001588225365,14.2,1.0770329614269007,23.108606718992295
JUNCTION,340,4,15,5.436933492620786,13.53333333,0.49888765156985865,24.143666640087805
KEELE,341,1,12,16.284225693903863,43.16666667,0.9860132971832694,22.618519367581612
KEELE,341,2,12,16.284225693903863,43.33333333,1.247219128924647,22.534211557762987
KEELE,341,3,23,16.18535726007236,46.52173913,3.5370039546804772,20.980642365402794
KEELE,341,4,12,16.284225693903863,43.33333333,1.2472191289246468,22.534211557762987
KENNEDY,343,1,15,11.058813274403413,25.39555556,6.003281407223968,26.30283554497893
KENNEDY,343,2,15,11.058813274403413,25.39555556,6.003281407223968,26.302835544978922
KENNEDY,343,3,46,10.179541242349407,24.68550725,9.2876902901785,25.377533371713515
KENNEDY,343,4,15,11.058813274403413,25.39555556,6.003281407223968,26.302835544978922
JANE,35,1,357,15.790175301771537,55.74537815,9.997210377559936,17.488027292574213
JANE,35,2,295,15.88423006463859,52.41694915,7.542807833583171,18.572576880256456
JANE,35,3,268,15.878914013727387,49.0858209,6.784812418188961,19.789165866175683
JANE,35,4,279,15.883559373651353,48.93548387,6.684073701966794,19.843849525186076
LAWRENCE WEST,352,1,21,14.273399839798609,40.42857143,26.032162211152478,14.639267421049778
LAWRENCE WEST,352,2,21,14.273399839798609,39.80952381,25.406446590278442,14.832086094800903
LAWRENCE WEST,352,3,21,14.273399839798609,39.95238095,25.538908114177456,14.78396592526865
LAWRENCE WEST,352,4,21,14.273399839798609,39.95238095,25.538908114177456,14.78396592526865
STEELES,353,1,28,16.500692537852697,33.34761905,27.68208933097159,25.952593420194756
STEELES,353,2,30,16.360046311219534,32.65055556,27.952506176427367,28.331167391588746
STEELES,353,3,36,17.904135768612225,35.96435185,27.364734997684234,26.501684677186034
STEELES,353,4,30,17.391032989819845,34.835,27.61950241928498,27.221368364373056
LAWRENCE EAST,354,1,19,17.477257849354494,31.41842105,20.02104951851213,30.899013720274812
LAWRENCE EAST,354,2,20,17.907714979350565,32.025,19.69241287907604,31.15105962089317
LAWRENCE EAST,354,3,30,17.897766651709876,32.09833333,19.74332158534177,31.083645759534065
LAWRENCE EAST,354,4,21,18.29717619220416,32.57380952,19.37391852003259,31.379101150024066
FINCH WEST,36,1,769,10.351413045151181,39.59380147,16.11846705991875,16.01514471403736
FINCH WEST,36,501,30,9.729760066171487,40.78777778,15.354947889568303,14.691842263129494
FINCH WEST,36,401,1,11.527999620884657,43.81666667,0.0,15.785773539438862
FINCH WEST,36,2,563,12.377341039637583,43.33179396,17.989873958069147,17.54704417456492
FINCH WEST,36,3,523,12.51966215865277,41.00334608,16.695196930620686,18.69277675972307
FINCH WEST,36,4,523,12.57724493364474,41.05500319,16.740704701337304,18.73503074116015
OSSINGTON,363,1,17,8.726805821937674,25.17647059,3.633751814466,21.134989920306264
OSSINGTON,363,2,17,8.726805821937674,25.23529412,3.489975758633253,21.078908151867747
OSSINGTON,363,3,17,8.781382292509079,24.76470588,3.134802963405701,21.482671054109936
OSSINGTON,363,4,17,8.781382292509079,24.76470588,3.134802963405701,21.482671054109936
PARLIAMENT,365,1,14,3.2772999554872513,13.41666667,0.15000000000000016,14.680817401344529
PARLIAMENT,365,2,14,3.2772999554872513,13.41666667,0.15000000000000016,14.680817401344529
PARLIAMENT,365,3,22,3.2772999554872513,13.41666667,0.15000000000000022,14.680817401344529
PARLIAMENT,365,4,14,3.2772999554872513,13.41666667,0.15000000000000016,14.680817401344529
ISLINGTON,37,1,242,15.518744213521973,44.74793388,5.728579925476369,21.09171255593127
ISLINGTON,37,401,2,6.795550227165222,17.14166667,7.741666666666666,26.214817162803335
ISLINGTON,37,2,246,15.515107719151954,41.77642276,4.6602903238501385,22.50000451307629
ISLINGTON,37,3,205,15.569525359461947,40.12682927,4.441875257154233,23.456960038607384
ISLINGTON,37,4,217,15.516173727501373,39.62211982,4.7948771745775485,23.722967304301463
HIGHLAND CREEK,38,1,232,16.495164868357623,44.33570402,6.528628773443914,22.302639249068452
HIGHLAND CREEK,38,2,174,18.233757354062178,44.8552682,3.7494741255247757,24.462458520509355
HIGHLAND CREEK,38,3,134,18.233481222291047,43.43942786,3.479190412255357,25.223612807348704
HIGHLAND CREEK,38,4,145,18.28474194993233,43.51034483,2.9269667514087927,25.22657447264114
SHEPPARD WEST,384,1,19,9.9545577325319,23.73157895,11.550446049381545,26.502733988506495
SHEPPARD WEST,384,2,15,10.862719849745433,25.80444444,9.585081901670346,26.086458946123734
SHEPPARD WEST,384,3,23,11.34965202341909,27.04637681,7.9255990134971706,25.724797401918114
SHEPPARD WEST,384,4,15,10.862719849745433,25.80444444,9.585081901670344,26.086458946123738
SHEPPARD EAST,385,1,15,23.86274046401183,48.87222222,5.9805600712167495,29.230837158825388
SHEPPARD EAST,385,2,16,23.798744146712124,49.528125,7.075745246257143,28.763616648189032
SHEPPARD EAST,385,3,29,24.97159705079835,53.35,3.6488438309527544,28.1386404469594
SHEPPARD EAST,385,4,16,23.798744146712124,49.15520833,6.933099752550763,28.981570118723102
FINCH EAST,39,1,357,14.730702225108441,45.67759104,16.048750927567006,19.785759569028084
FINCH EAST,39,2,307,16.354957575190824,48.42730727,12.593242995816906,20.623878657950662
FINCH EAST,39,3,310,16.417521860570677,46.29215054,10.58639288764609,21.47420317797433
FINCH EAST,39,4,310,16.475553149333404,46.48365591,10.247636403935683,21.390588934387935
YORK MILLS,395,1,13,22.35083789894214,44.48076923,0.1827901222627866,30.14942137385022
YORK MILLS,395,2,13,22.35083789894214,44.48076923,0.1827901222627866,30.14942137385022
YORK MILLS,395,3,21,22.350423241655033,44.47539683,0.18312535444240435,30.152505458624752
YORK MILLS,395,4,13,22.35083789894214,44.48076923,0.1827901222627866,30.14942137385022
WILSON,396,1,19,19.354226052761078,42.69473684,7.909586035092951,27.132337384618733
WILSON,396,2,19,19.354226052761078,42.69473684,7.909586035092951,27.132337384618733
WILSON,396,3,19,19.354226052761078,42.69473684,7.909586035092951,27.132337384618733
WILSON,396,4,19,19.354226052761078,42.69473684,7.909586035092951,27.132337384618733
JUNCTION-DUNDAS WEST,40,1,201,6.583877103838755,25.46558872,10.42055550355975,15.692599157944152
JUNCTION-DUNDAS WEST,40,2,187,6.549180203660287,24.48270945,9.869346628766271,16.22659327467649
JUNCTION-DUNDAS WEST,40,3,182,6.59128075584278,23.21529304,9.162116899837537,17.002779970170824
JUNCTION-DUNDAS WEST,40,4,208,6.5426187402783675,22.12676282,9.315808558215357,18.038012382275852
LAWRENCE MANOR,400,4401,14,11.043214306767497,61.22857143,26.878977319993172,10.931114126004669
PARKDALE,402,4501,16,8.687537282705307,57.39583333,6.8899773725640365,9.067763360732414
SOUTH DON MILLS,403,1,12,10.007400120298067,35.93888889,3.523363379808111,16.75522175490409
EAST YORK,404,1,16,13.466299891471863,61.25,2.165063509461097,13.233615278051452
ETOBICOKE,405,1,14,11.730564308485814,64.19166667,20.800574005739698,10.599533476698076
SCARBOROUGH-GUILDWOOD,406,7001,16,15.303050220012665,60.0,0.0,15.303050220012667
KEELE,41,1,234,16.632976630583215,64.97834758,8.831113725582691,15.663705434819333
KEELE,41,2,229,16.321225871946094,59.05786026,10.579321413217892,16.878222861394665
KEELE,41,3,179,16.612560894236218,55.20111732,5.89231095246492,18.24535547301155
KEELE,41,4,190,16.606105820285645,54.95263158,5.83121079970376,18.316773773179076
CUMMER,42,1,187,15.715858891526645,46.55044563,7.842958290779466,20.513420513800863
CUMMER,42,401,4,11.019524976611137,34.12916667,13.732738533842728,19.584677995790674
CUMMER,42,2,125,15.802373660326005,42.84613333,6.6724915006814856,22.503765407000213
CUMMER,42,3,102,15.67109025897933,42.59558824,7.494363141878385,22.63409360657398
CUMMER,42,4,102,15.609511821585542,42.41732026,8.04977770757934,22.69358359120365
KENNEDY,43,1,403,9.769071092824486,30.97717122,8.059143963676343,19.064033719188828
KENNEDY,43,401,1,10.176699787378311,34.68333333,0.0,17.60505489407108
KENNEDY,43,2,363,10.06431389532306,31.16620753,8.528537401126673,19.653207259687555
KENNEDY,43,3,317,10.377871734110714,30.60799159,6.83000066950144,20.473245280483308
KENNEDY,43,4,347,10.35573701343636,30.1221902,7.337086023901628,20.89666249262602
KIPLING SOUTH,44,1,298,5.669020553019473,18.69099553,2.769310550553827,18.643336935313755
KIPLING SOUTH,44,6701,26,5.67615008354187,19.65384615,1.5918616989672973,17.473880198915438
KIPLING SOUTH,44,401,3,5.194333434104919,17.22222222,0.5499719409228708,18.06690243997983
KIPLING SOUTH,44,2,242,5.67615008354187,15.68181818,1.836836122834251,22.048330152215428
KIPLING SOUTH,44,3,233,5.675567894534492,15.17596567,1.458709829925009,22.696599684660004
KIPLING SOUTH,44,4,268,5.664565008800866,15.11598259,1.4913537945969244,22.7227925659509
KIPLING,45,1,273,13.537627491868022,35.96379731,4.7516876710131175,22.840292471956715
KIPLING,45,6701,24,14.220900066196918,40.86875,2.511843762189072,20.925453860917063
KIPLING,45,401,1,13.767799735069275,42.2,0.0,19.57507071336864
KIPLING,45,2,258,14.217387660529262,36.27067183,3.8250468098185664,23.77275345092782
KIPLING,45,3,209,14.227403898701143,35.91212121,2.8899603146196244,23.914653538974022
KIPLING,45,4,219,14.231244822615357,35.87519026,2.8432217814041745,23.93998348306481
MARTIN GROVE,46,401,4,11.171775063499808,31.29166667,11.877841765236646,22.042486709502114
MARTIN GROVE,46,1,143,15.610601629827405,45.44755245,1.6585372343540463,20.63943197101161
